discharge,h_down,h_up
1.27,6.65,6.694
1.232,6.645,6.688
1.25,6.644,6.685
1.265,6.648,6.686
1.201,6.643,6.685
1.156,6.641,6.68
1.109,6.643,6.675
1.185,6.65,6.688
1.227,6.655,6.695
1.246,6.656,6.702
1.274,6.66,6.711
1.21,6.654,6.715
1.133,6.646,6.704
1.086,6.64,6.689
1.068,6.643,6.682
1.115,6.653,6.69
1.152,6.655,6.691
1.1,6.652,6.694
1.084,6.65,6.697
1.085,6.65,6.698
1.076,6.652,6.699
1.059,6.65,6.695
1.016,6.646,6.697
0.95,6.641,6.695
0.934,6.645,6.691
0.934,6.65,6.701
0.95,6.654,6.725
0.929,6.646,6.714
1.049,6.656,6.732
1.2,6.655,6.764
1.089,6.641,6.746
1.071,6.642,6.735
0.955,6.642,6.727
0.909,6.646,6.722
0.929,6.644,6.727
0.909,6.645,6.731
0.884,6.644,6.735
0.845,6.641,6.732
0.897,6.647,6.736
0.992,6.66,6.762
1.018,6.654,6.785
0.951,6.645,6.759
0.977,6.649,6.754
0.909,6.645,6.746
0.867,6.646,6.742
0.828,6.645,6.744
0.823,6.648,6.758
0.746,6.641,6.739
0.758,6.641,6.746
0.741,6.64,6.752
0.748,6.636,6.748
0.64,6.624,6.736
0.577,6.615,6.727
0.546,6.611,6.734
0.532,6.606,6.746
0.52,6.605,6.752
0.465,6.598,6.756
0.446,6.596,6.754
0.473,6.6,6.768
0.473,6.6,6.768
0.469,6.6,6.772
0.502,6.604,6.786
0.499,6.605,6.795
0.466,6.6,6.791
0.464,6.6,6.802
0.49,6.603,6.821
0.607,6.621,6.898
0.654,6.627,6.926
0.582,6.64,6.92
0.584,6.653,6.919
0.534,6.65,6.91
0.55,6.647,6.914
0.484,6.642,6.915
0.711,6.647,6.997
2.649,6.521,7.334
1.566,6.336,7.204
1.324,6.259,7.155
1.155,6.242,7.114
1.024,6.226,7.07
0.924,6.215,7.032
0.808,6.289,7.004
0.802,6.406,7.004
0.734,6.4,6.992
0.734,6.4,6.982
0.713,6.399,6.974
0.687,6.395,6.968
0.682,6.392,6.957
0.755,6.402,6.995
0.775,6.406,7.051
0.74,6.401,7.05
0.733,6.4,7.032
0.665,6.396,6.952
0.671,6.407,6.996
0.631,6.4,6.986
0.507,6.488,6.939
1.084,6.813,7.102
2.309,6.758,6.903
1.143,6.645,6.769
1.133,6.653,6.826
1.08,6.64,6.81
1.181,6.65,6.825
1.22,6.656,6.852
1.259,6.652,6.875
1.179,6.641,6.861
1.171,6.64,6.847
1.171,6.64,6.839
1.251,6.652,6.884
1.28,6.656,6.899
1.22,6.649,6.893
1.119,6.64,6.879
1.036,6.641,6.864
0.951,6.644,6.852
0.961,6.647,6.848
0.866,6.64,6.838
0.784,6.64,6.831
0.748,6.641,6.827
0.728,6.64,6.816
0.71,6.641,6.816
0.678,6.642,6.809
0.64,6.641,6.799
0.601,6.64,6.793
0.586,6.64,6.791
0.565,6.64,6.784
0.517,6.64,6.778
0.528,6.64,6.773
0.482,6.64,6.769
0.497,6.646,6.783
0.528,6.65,6.8
0.483,6.647,6.795
0.485,6.641,6.791
0.458,6.641,6.789
0.422,6.64,6.787
0.41,6.64,6.796
0.45,6.647,6.813
0.454,6.649,6.809
0.414,6.642,6.811
0.438,6.644,6.823
0.456,6.654,6.86
0.475,6.653,6.877
0.532,6.66,6.922
0.483,6.653,6.912
0.431,6.645,6.891
0.424,6.641,6.872
0.437,6.644,6.868
0.439,6.645,6.857
0.428,6.643,6.856
0.402,6.64,6.841
0.396,6.646,6.824
0.413,6.65,6.846
0.411,6.65,6.837
0.255,6.726,6.796
0.279,6.855,6.911
0.409,6.887,6.881
